ClientName,PriceAdjustment,TimePoint
Jonathan New,1.02425074237136,7
Vennie Almodovar,0.915476838586739,7
Eufemia Healey,0.964567592314208,7
Magan Devries,0.829602658238092,7
Anibal Oh,1.02883103835806,7
Ulrike Woosley,1.03808312925804,7
Nicky Dunnigan,1.04974437663183,7
Burton Tulley,1.0286129985742,7
Bettye Weimer,1.07608653257084,7
Torri Siebert,1.0188904832746,7
Cherise Lim,0.96083925450003,7
Clora Stoneman,0.982863416267888,7
Arie Spada,1.02752323356435,7
Inga Mcmonagle,0.92166760373449,7
Lasandra Ardoin,1.22304899900781,7
Jarvis Honeycutt,1.0293278984387,7
Ilana Brautigam,0.869034416535094,7
Jaleesa Claar,0.923656823605078,7
Chung Fusaro,0.941202605653329,7
Mirian Adan,0.934490389905049,7
Marcie Nolen,0.826450821176052,7
Terrilyn Keesler,1.02365114812975,7
Margaret Lamark,1.00003667641492,7
Abram Walston,1.05479754233784,7
Shaneka Raines,0.93369971971204,7
Loris Arter,0.937009813004543,7
Kiara Zapata,0.905504849480758,7
Emmitt Varnadoe,0.969572785620584,7
Elliott Winebrenner,0.909645423709603,7
Tory Borkholder,0.973946824430441,7
