ClientName,PriceAdjustment,TimePoint
Cleopatra Gothard,1.06286768665006,11
Winifred Ketelsen,1.09215446632962,11
Kaycee Hooser,0.947439479233893,11
Raymonde Shomo,1.17832404639075,11
Charmain Hutchens,1.10005997752947,11
Harley Crawley,0.866844507154022,11
Glady Glazer,1.05401801132313,11
Grover Worm,0.98931494442871,11
Fernanda Greenhill,0.937565948842943,11
Annice Muth,0.976384716895825,11
Hedwig Berkman,1.0891384229361,11
Juliette Gale,0.942849162871271,11
Winnifred Wilcoxon,1.05239354745619,11
Sonia Headlee,1.02955998975485,11
Mavis Kaye,0.842356815334297,11
Kiersten Rockwell,0.920846775995133,11
Prince Watkins,0.997373802820302,11
Kiara Zapata,0.937783974867552,11
Daniella Shahan,0.913003854149777,11
Torri Siebert,1.02494596289043,11
Tory Borkholder,1.06091128117948,11
Janeth Slye,0.980057036338098,11
Ricki Hegg,0.943085574720786,11
Moshe Bellis,0.912685700252001,11
Annice Goulding,1.0232058546741,11
Ciara Emory,1.04054883976146,11
Rosalind Ogden,1.03757753863249,11
Love Jesus,1.2074086731221,11
Alessandra Serio,1.09771789109471,11
Lenora Coffey,0.997067702587712,11
