ClientName,PriceAdjustment,TimePoint
Renee Saenz,1.02272421840185,39
Warren Gundersen,1.13518557321537,39
Danna Kidney,1.0563688084616,39
Sixta Posada,1.06921892283134,39
Abram Walston,0.888948740741887,39
Kimberley Schumaker,0.973064316920043,39
Ara Dash,0.958507725566885,39
Vicente Eger,0.983826151427553,39
Alline Colclough,0.759660111620463,39
Ulrike Woosley,0.935410719842753,39
Staci Pecor,1.01496170789001,39
Gillian Hunger,0.987989851498291,39
Angelic Loring,1.07543057844767,39
Mayra Tu,1.12150713251023,39
Nereida Heatley,1.01591470633741,39
Shawna Casado,1.1743373879628,39
Katelin Lundeen,1.14628138823979,39
Julian Prevo,1.03836767983406,39
Fredericka Jose,1.25730548545355,39
Haley Oritz,0.933865058557103,39
Gaylene Blanchette,1.03271648208002,39
Lance Lemieux,0.907859760967775,39
Bernita Boulay,1.16682287144093,39
Tonia Sheley,1.00607966728444,39
Alessandra Lees,1.08193654816567,39
Burton Tulley,1.14369323630701,39
Kimberlee Parrott,1.01273855774419,39
Lorina Chee,0.967794265896177,39
Shauna Diorio,0.858287377851369,39
Claudie Whiteley,1.03684144883114,39
