ClientName,PriceAdjustment,TimePoint
Ada Tarrance,0.976335562819889,98
Deidre Espana,1.10755130017447,98
Kiara Zapata,0.992721687733906,98
Alvina Chester,1.23054463764443,98
Jarvis Honeycutt,1.06164157820383,98
Carolina Atwell,0.97160803378162,98
Ciara Emory,0.911874936806918,98
Manda Fauntleroy,0.98806920679543,98
Marketta Fowles,1.01006148907307,98
Winnifred Wilcoxon,0.969010673488594,98
Chuck Wheat,1.08954380186254,98
Adrian Clapp,1.20145103517627,98
Elliott Winebrenner,1.03235077113668,98
Ricki Hegg,0.988469630704453,98
Loris Arter,1.01807297242619,98
Kacie Holub,0.903262730892844,98
Anne Ritzman,0.993599747830166,98
Athena Sidle,1.02445667443026,98
Elvira Pinkston,0.809682105356172,98
Gertrud Gangi,0.887023919449781,98
Grover Worm,1.07467384319571,98
Charmain Hutchens,0.852305321943453,98
Myriam Peed,0.830630462803543,98
Geraldo Oyer,1.02988280929796,98
Rosina Lemmon,0.992905694894658,98
Kirby Gilbreath,1.01994109196775,98
Jolynn Muniz,0.99941703758161,98
Ara Dash,0.961179013834197,98
Riley Castellon,0.990807479181892,98
Melida Thode,0.945364072760631,98
